timestamp,source,destination,ports,tcp_flags,tos,ttl,time_str
1758024415,"192.168.219.108:49705","146.66.152.52","443","---AP---","00","64","21:06:55"
1758024415,"146.66.152.52:443","192.168.219.108","49705","---A----","00","64","21:06:55"
1758024416,"192.168.219.108:58915","104.18.18.125","443","---AP---","00","64","21:06:56"
1758024416,"192.168.219.108:58915","104.18.18.125","443","---AP---","00","64","21:06:56"
1758024416,"104.18.18.125:443","192.168.219.108","58915","---A----","00","64","21:06:56"
1758024416,"104.18.18.125:443","192.168.219.108","58915","---AP---","00","64","21:06:56"
1758024416,"192.168.219.108:51497","103.86.99.100","53","--------","00","64","21:06:56"
1758024416,"192.168.219.108:51498","103.86.96.100","53","--------","00","64","21:06:56"
1758024416,"192.168.219.108:51499","103.86.96.100","53","--------","00","64","21:06:56"
1758024416,"192.168.219.108:51500","103.86.99.100","53","--------","00","64","21:06:56"
1758024416,"192.168.219.108:51501","103.86.96.100","53","--------","00","64","21:06:56"
1758024416,"192.168.219.108:51502","103.86.99.100","53","--------","00","64","21:06:56"
1758024416,"192.168.219.108:58915","104.18.18.125","443","---A----","00","64","21:06:56"
1758024416,"192.168.219.108:52881","35.169.141.120","443","---A----","00","64","21:06:56"
1758024416,"103.86.99.100:53","192.168.219.108","51497","--------","00","64","21:06:56"
1758024416,"192.168.219.108:61320","89.187.162.13","443","------S-","00","64","21:06:56"
1758024416,"103.86.96.100:53","192.168.219.108","51498","--------","00","64","21:06:56"
1758024416,"103.86.99.100:53","192.168.219.108","51502","--------","00","64","21:06:56"
1758024416,"192.168.219.108:61322","79.127.235.45","443","------S-","00","64","21:06:56"
1758024416,"192.168.219.108:61321","207.211.208.184","443","------S-","00","64","21:06:56"
1758024416,"103.86.96.100:53","192.168.219.108","51501","--------","00","64","21:06:56"
1758024416,"192.168.219.108:61323","79.127.235.8","443","------S-","00","64","21:06:56"
1758024416,"103.86.96.100:53","192.168.219.108","51499","--------","00","64","21:06:56"
1758024416,"192.168.219.108:61324","89.187.163.19","443","------S-","00","64","21:06:56"
1758024416,"103.86.99.100:53","192.168.219.108","51500","--------","00","64","21:06:56"
1758024416,"192.168.219.108:61325","89.187.162.13","443","------S-","00","64","21:06:56"
1758024416,"79.127.235.45:443","192.168.219.108","61322","---A--S-","00","64","21:06:56"
1758024416,"192.168.219.108:61322","79.127.235.45","443","---A----","00","64","21:06:56"
1758024416,"192.168.219.108:61322","79.127.235.45","443","---AP---","00","64","21:06:56"
1758024416,"207.211.208.184:443","192.168.219.108","61321","---A--S-","00","64","21:06:56"
1758024416,"192.168.219.108:61321","207.211.208.184","443","---A----","00","64","21:06:56"
1758024416,"192.168.219.108:61321","207.211.208.184","443","---AP---","00","64","21:06:56"
1758024417,"89.187.163.19:443","192.168.219.108","61324","---A--S-","00","64","21:06:57"
1758024417,"192.168.219.108:61324","89.187.163.19","443","---A----","00","64","21:06:57"
1758024417,"192.168.219.108:61324","89.187.163.19","443","---AP---","00","64","21:06:57"
1758024417,"79.127.235.8:443","192.168.219.108","61323","---A--S-","00","64","21:06:57"
1758024417,"192.168.219.108:61323","79.127.235.8","443","---A----","00","64","21:06:57"
1758024417,"192.168.219.108:61323","79.127.235.8","443","---AP---","00","64","21:06:57"
1758024417,"89.187.162.13:443","192.168.219.108","61320","---A--S-","00","64","21:06:57"
1758024417,"192.168.219.108:61320","89.187.162.13","443","---A----","00","64","21:06:57"
1758024417,"192.168.219.108:61320","89.187.162.13","443","---AP---","00","64","21:06:57"
1758024417,"89.187.162.13:443","192.168.219.108","61325","---A--S-","00","64","21:06:57"
1758024417,"79.127.235.45:443","192.168.219.108","61322","---A----","00","64","21:06:57"
1758024417,"192.168.219.108:61325","89.187.162.13","443","---A----","00","64","21:06:57"
1758024417,"79.127.235.45:443","192.168.219.108","61322","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61322","79.127.235.45","443","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61325","89.187.162.13","443","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61322","79.127.235.45","443","---AP---","00","64","21:06:57"
1758024417,"35.169.141.120:443","192.168.219.108","52881","---A----","00","64","21:06:57"
1758024417,"207.211.208.184:443","192.168.219.108","61321","---A----","00","64","21:06:57"
1758024417,"207.211.208.184:443","192.168.219.108","61321","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61321","207.211.208.184","443","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61321","207.211.208.184","443","---AP---","00","64","21:06:57"
1758024417,"89.187.163.19:443","192.168.219.108","61324","---A----","00","64","21:06:57"
1758024417,"89.187.163.19:443","192.168.219.108","61324","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61324","89.187.163.19","443","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61324","89.187.163.19","443","---AP---","00","64","21:06:57"
1758024417,"79.127.235.45:443","192.168.219.108","61322","---AP---","00","64","21:06:57"
1758024417,"79.127.235.45:443","192.168.219.108","61322","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61322","79.127.235.45","443","---A----","00","64","21:06:57"
1758024417,"207.211.208.184:443","192.168.219.108","61321","---A----","00","64","21:06:57"
1758024417,"207.211.208.184:443","192.168.219.108","61321","---AP---","00","64","21:06:57"
1758024417,"207.211.208.184:443","192.168.219.108","61321","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61321","207.211.208.184","443","---A----","00","64","21:06:57"
1758024417,"89.187.162.13:443","192.168.219.108","61325","---A----","00","64","21:06:57"
1758024417,"89.187.162.13:443","192.168.219.108","61325","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61325","89.187.162.13","443","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61325","89.187.162.13","443","---AP---","00","64","21:06:57"
1758024417,"79.127.235.8:443","192.168.219.108","61323","---A----","00","64","21:06:57"
1758024417,"79.127.235.8:443","192.168.219.108","61323","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61323","79.127.235.8","443","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61323","79.127.235.8","443","---AP---","00","64","21:06:57"
1758024417,"89.187.162.13:443","192.168.219.108","61320","---A----","00","64","21:06:57"
1758024417,"89.187.162.13:443","192.168.219.108","61320","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61320","89.187.162.13","443","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61320","89.187.162.13","443","---AP---","00","64","21:06:57"
1758024417,"89.187.163.19:443","192.168.219.108","61324","---A----","00","64","21:06:57"
1758024417,"89.187.163.19:443","192.168.219.108","61324","---AP---","00","64","21:06:57"
1758024417,"89.187.163.19:443","192.168.219.108","61324","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61324","89.187.163.19","443","---A----","00","64","21:06:57"
1758024417,"89.187.162.13:443","192.168.219.108","61325","---A----","00","64","21:06:57"
1758024417,"89.187.162.13:443","192.168.219.108","61325","---AP---","00","64","21:06:57"
1758024417,"89.187.162.13:443","192.168.219.108","61325","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61325","89.187.162.13","443","---A----","00","64","21:06:57"
1758024417,"79.127.235.8:443","192.168.219.108","61323","---AP---","00","64","21:06:57"
1758024417,"79.127.235.8:443","192.168.219.108","61323","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61323","79.127.235.8","443","---A----","00","64","21:06:57"
1758024417,"89.187.162.13:443","192.168.219.108","61320","---AP---","00","64","21:06:57"
1758024417,"89.187.162.13:443","192.168.219.108","61320","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61320","89.187.162.13","443","---A----","00","64","21:06:57"
1758024417,"192.168.219.108:59900","140.82.114.26","443","---A----","00","64","21:06:57"
1758024417,"140.82.114.26:443","192.168.219.108","59900","---A----","00","64","21:06:57"
1758024419,"192.168.219.108:59869","192.168.219.102","49269","---AP---","00","64","21:06:59"
1758024415,"192.168.219.108:49705","146.66.152.52","443","---AP---","00","64","21:06:55"
1758024415,"146.66.152.52:443","192.168.219.108","49705","---A----","00","64","21:06:55"
1758024416,"192.168.219.108:58915","104.18.18.125","443","---AP---","00","64","21:06:56"
1758024416,"192.168.219.108:58915","104.18.18.125","443","---AP---","00","64","21:06:56"
1758024416,"104.18.18.125:443","192.168.219.108","58915","---A----","00","64","21:06:56"
1758024416,"104.18.18.125:443","192.168.219.108","58915","---AP---","00","64","21:06:56"
1758024416,"192.168.219.108:51497","103.86.99.100","53","--------","00","64","21:06:56"
1758024416,"192.168.219.108:51498","103.86.96.100","53","--------","00","64","21:06:56"
1758024416,"192.168.219.108:51499","103.86.96.100","53","--------","00","64","21:06:56"
1758024416,"192.168.219.108:51500","103.86.99.100","53","--------","00","64","21:06:56"
1758024416,"192.168.219.108:51501","103.86.96.100","53","--------","00","64","21:06:56"
1758024416,"192.168.219.108:51502","103.86.99.100","53","--------","00","64","21:06:56"
1758024416,"192.168.219.108:58915","104.18.18.125","443","---A----","00","64","21:06:56"
1758024416,"192.168.219.108:52881","35.169.141.120","443","---A----","00","64","21:06:56"
1758024416,"103.86.99.100:53","192.168.219.108","51497","--------","00","64","21:06:56"
1758024416,"192.168.219.108:61320","89.187.162.13","443","------S-","00","64","21:06:56"
1758024416,"103.86.96.100:53","192.168.219.108","51498","--------","00","64","21:06:56"
1758024416,"103.86.99.100:53","192.168.219.108","51502","--------","00","64","21:06:56"
1758024416,"192.168.219.108:61322","79.127.235.45","443","------S-","00","64","21:06:56"
1758024416,"192.168.219.108:61321","207.211.208.184","443","------S-","00","64","21:06:56"
1758024416,"103.86.96.100:53","192.168.219.108","51501","--------","00","64","21:06:56"
1758024416,"192.168.219.108:61323","79.127.235.8","443","------S-","00","64","21:06:56"
1758024416,"103.86.96.100:53","192.168.219.108","51499","--------","00","64","21:06:56"
1758024416,"192.168.219.108:61324","89.187.163.19","443","------S-","00","64","21:06:56"
1758024416,"103.86.99.100:53","192.168.219.108","51500","--------","00","64","21:06:56"
1758024416,"192.168.219.108:61325","89.187.162.13","443","------S-","00","64","21:06:56"
1758024416,"79.127.235.45:443","192.168.219.108","61322","---A--S-","00","64","21:06:56"
1758024416,"192.168.219.108:61322","79.127.235.45","443","---A----","00","64","21:06:56"
1758024416,"192.168.219.108:61322","79.127.235.45","443","---AP---","00","64","21:06:56"
1758024416,"207.211.208.184:443","192.168.219.108","61321","---A--S-","00","64","21:06:56"
1758024416,"192.168.219.108:61321","207.211.208.184","443","---A----","00","64","21:06:56"
1758024416,"192.168.219.108:61321","207.211.208.184","443","---AP---","00","64","21:06:56"
1758024417,"89.187.163.19:443","192.168.219.108","61324","---A--S-","00","64","21:06:57"
1758024417,"192.168.219.108:61324","89.187.163.19","443","---A----","00","64","21:06:57"
1758024417,"192.168.219.108:61324","89.187.163.19","443","---AP---","00","64","21:06:57"
1758024417,"79.127.235.8:443","192.168.219.108","61323","---A--S-","00","64","21:06:57"
1758024417,"192.168.219.108:61323","79.127.235.8","443","---A----","00","64","21:06:57"
1758024417,"192.168.219.108:61323","79.127.235.8","443","---AP---","00","64","21:06:57"
1758024417,"89.187.162.13:443","192.168.219.108","61320","---A--S-","00","64","21:06:57"
1758024417,"192.168.219.108:61320","89.187.162.13","443","---A----","00","64","21:06:57"
1758024417,"192.168.219.108:61320","89.187.162.13","443","---AP---","00","64","21:06:57"
1758024417,"89.187.162.13:443","192.168.219.108","61325","---A--S-","00","64","21:06:57"
1758024417,"79.127.235.45:443","192.168.219.108","61322","---A----","00","64","21:06:57"
1758024417,"192.168.219.108:61325","89.187.162.13","443","---A----","00","64","21:06:57"
1758024417,"79.127.235.45:443","192.168.219.108","61322","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61322","79.127.235.45","443","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61325","89.187.162.13","443","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61322","79.127.235.45","443","---AP---","00","64","21:06:57"
1758024417,"35.169.141.120:443","192.168.219.108","52881","---A----","00","64","21:06:57"
1758024417,"207.211.208.184:443","192.168.219.108","61321","---A----","00","64","21:06:57"
1758024417,"207.211.208.184:443","192.168.219.108","61321","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61321","207.211.208.184","443","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61321","207.211.208.184","443","---AP---","00","64","21:06:57"
1758024417,"89.187.163.19:443","192.168.219.108","61324","---A----","00","64","21:06:57"
1758024417,"89.187.163.19:443","192.168.219.108","61324","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61324","89.187.163.19","443","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61324","89.187.163.19","443","---AP---","00","64","21:06:57"
1758024417,"79.127.235.45:443","192.168.219.108","61322","---AP---","00","64","21:06:57"
1758024417,"79.127.235.45:443","192.168.219.108","61322","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61322","79.127.235.45","443","---A----","00","64","21:06:57"
1758024417,"207.211.208.184:443","192.168.219.108","61321","---A----","00","64","21:06:57"
1758024417,"207.211.208.184:443","192.168.219.108","61321","---AP---","00","64","21:06:57"
1758024417,"207.211.208.184:443","192.168.219.108","61321","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61321","207.211.208.184","443","---A----","00","64","21:06:57"
1758024417,"89.187.162.13:443","192.168.219.108","61325","---A----","00","64","21:06:57"
1758024417,"89.187.162.13:443","192.168.219.108","61325","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61325","89.187.162.13","443","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61325","89.187.162.13","443","---AP---","00","64","21:06:57"
1758024417,"79.127.235.8:443","192.168.219.108","61323","---A----","00","64","21:06:57"
1758024417,"79.127.235.8:443","192.168.219.108","61323","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61323","79.127.235.8","443","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61323","79.127.235.8","443","---AP---","00","64","21:06:57"
1758024417,"89.187.162.13:443","192.168.219.108","61320","---A----","00","64","21:06:57"
1758024417,"89.187.162.13:443","192.168.219.108","61320","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61320","89.187.162.13","443","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61320","89.187.162.13","443","---AP---","00","64","21:06:57"
1758024417,"89.187.163.19:443","192.168.219.108","61324","---A----","00","64","21:06:57"
1758024417,"89.187.163.19:443","192.168.219.108","61324","---AP---","00","64","21:06:57"
1758024417,"89.187.163.19:443","192.168.219.108","61324","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61324","89.187.163.19","443","---A----","00","64","21:06:57"
1758024417,"89.187.162.13:443","192.168.219.108","61325","---A----","00","64","21:06:57"
1758024417,"89.187.162.13:443","192.168.219.108","61325","---AP---","00","64","21:06:57"
1758024417,"89.187.162.13:443","192.168.219.108","61325","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61325","89.187.162.13","443","---A----","00","64","21:06:57"
1758024417,"79.127.235.8:443","192.168.219.108","61323","---AP---","00","64","21:06:57"
1758024417,"79.127.235.8:443","192.168.219.108","61323","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61323","79.127.235.8","443","---A----","00","64","21:06:57"
1758024417,"89.187.162.13:443","192.168.219.108","61320","---AP---","00","64","21:06:57"
1758024417,"89.187.162.13:443","192.168.219.108","61320","---AP---","00","64","21:06:57"
1758024417,"192.168.219.108:61320","89.187.162.13","443","---A----","00","64","21:06:57"
1758024417,"192.168.219.108:59900","140.82.114.26","443","---A----","00","64","21:06:57"
1758024417,"140.82.114.26:443","192.168.219.108","59900","---A----","00","64","21:06:57"
1758024419,"192.168.219.108:59869","192.168.219.102","49269","---AP---","00","64","21:06:59"
1758024419,"192.168.219.102:49269","192.168.219.108","59869","---A----","00","64","21:06:59"
1758024419,"192.168.219.102:49269","192.168.219.108","59869","---AP---","00","64","21:06:59"
1758024419,"192.168.219.108:59869","192.168.219.102","49269","---A----","00","64","21:06:59"
1758024420,"192.168.219.108:49835","54.81.203.86","443","---A----","00","64","21:07:00"
1758024420,"54.81.203.86:443","192.168.219.108","49835","---A----","00","64","21:07:00"
1758024452,"192.168.1.200:24465","192.402.420.20","200","------S-","00","64","21:07:32"
1758024452,"192.168.1.200:24466","192.402.420.20","200","---A----","00","64","21:07:32"
1758024452,"192.168.1.200:24467","192.402.420.20","200","---AP---","00","64","21:07:32"
1758024452,"192.168.1.200:24468","192.402.420.20","200","---A---F","00","64","21:07:32"
1758024453,"192.168.1.200:24469","192.402.420.20","200","-----R--","00","64","21:07:33"
1758024453,"192.168.1.200:24470","192.402.420.20","200","------S-","00","64","21:07:33"
1758024453,"192.168.1.200:24471","192.402.420.20","200","---A----","00","64","21:07:33"
1758024454,"192.168.1.200:24472","192.402.420.20","200","---AP---","00","64","21:07:34"
1758024454,"192.168.1.200:24473","192.402.420.20","200","---A---F","00","64","21:07:34"
1758024454,"192.168.1.200:24474","192.402.420.20","200","-----R--","00","64","21:07:34"
1758024455,"192.168.1.200:24475","192.402.420.20","200","------S-","00","64","21:07:35"
1758024455,"192.168.1.200:24476","192.402.420.20","200","---A----","00","64","21:07:35"
1758024455,"192.168.1.200:24477","192.402.420.20","200","---AP---","00","64","21:07:35"
1758024456,"192.168.1.200:24478","192.402.420.20","200","---A---F","00","64","21:07:36"
1758024456,"192.168.1.200:24479","192.402.420.20","200","-----R--","00","64","21:07:36"
1758024456,"192.168.1.200:24480","192.402.420.20","200","------S-","00","64","21:07:36"
1758024456,"192.168.1.200:24481","192.402.420.20","200","---A----","00","64","21:07:36"
1758024456,"192.168.1.200:24482","192.402.420.20","200","---AP---","00","64","21:07:36"
1758024457,"192.168.1.200:24483","192.402.420.20","200","---A---F","00","64","21:07:37"
1758024457,"192.168.1.200:24484","192.402.420.20","200","-----R--","00","64","21:07:37"
1758024458,"192.168.1.200:24485","192.402.420.20","200","------S-","00","64","21:07:38"
1758024458,"192.168.1.200:24486","192.402.420.20","200","---A----","00","64","21:07:38"
1758024459,"192.168.1.200:24487","192.402.420.20","200","---AP---","00","64","21:07:39"
1758024459,"192.168.1.200:24488","192.402.420.20","200","---A---F","00","64","21:07:39"
1758024459,"192.168.1.200:24489","192.402.420.20","200","-----R--","00","64","21:07:39"
